Item_Name	Manufacturer_ID	Category_ID	ASIN
"""Tervis Xtra Green Knockout Tumbler with Travel Lid, 24 oz, Clear"""	10	6	
"""Tervis Palm Tree Wrap and Water Bottle with Grey Lid, 24-Ounce, Beverage"""	10	6	B00RVXN3VW
Tervis Tumbler Cherry Blossom Wrap Water Bottle with Lid	10	11	B00DHLM39K
"""YBM Home & Kitchen Bamboo Set of 3 Cutting Boards Small, Medium and Large 351 352 353"""	4	5	B01161V0UA
"""Wine Decanter,WBSEos1.2L U Shape Classic Wine Aerator, Red Wine Carafe, Wine Gifts, Wine Accessories"""	12	9	B01MS497M7
"""Bella Vino Wine Decanter and Aerator with a Wide Base for Vivid Aerating, Elegant Crystal Carafe, Wine Accessories, Wine Gifts (1000ML)"""	12	15	B01A10FWNS
Wine Enthusiast Vivid Wine Decanter	12	4	B000P7O518
"""Riedel Merlot Decanter, 34-1/2 OZ"""	12	13	B001D1Z730
Wine Enthusiast U Wine Decanter	12	11	B0014TTV4W
Wine Dencanter Hand Blown Red Wine Carafe Lead free Glass Decanter Wine Gift Accessories	12	7	B06XY4BF96
JoyJolt Cigno Wine Decanter Hand Blown Lead-free Crystal Glass Red Wine Carafe 50oz	12	5	B073NXQWBV
Le Chateau Wine Decanter	12	8	B01AVTQ1D4
"""Creative Co-Op Glass Decanter with Stopper, 9.25-Inch"""	12	9	B00JZMU6OE
"""Paksh Novelty Glass Whiskey Capital Decanter with Airtight Geometric Stopper, 23.75-Ounce"""	12	15	B01M0JNJGO
Bormioli Rocco Selecta 33-3/4-Ounce Decanter with Stopper	12	15	B002IT6X4I
DUBLIN TRIANGULAR CRYSTAL DECANTER	12	3	B00158N7OM
"""Amlong Crystal Lead Free Crystal Liquor Decanter with Stopper, Round"""	12	12	B0170CEMP4
James Scott Crystal Liquor Whiskey and Wine Decanter Irish Cut 1 Piece 750ml	12	1	B00DB8T27K
Godinger Aberdeen Whiskey Decanter	12	11	B00KPLHGAQ
Godinger Dublin Wine Decanter	12	6	B000ZLZMRU
Ravenscroft Crystal Vintner's Choice Decanter	12	5	B000VXOONK
"""Hanzeek Brass Instrument Shape Wine Decanter, 50 oz. / 1500ml"""	12	7	B00YFH5YWS
"""Hanzeek Brass Instrument Shape Wine Decanter, 30 oz. / 870ml"""	12	7	B00YFH5YZK
Bella Vino Wine Decanter	12	4	B01C579OKC
Omni Wine Aerator By Vintorio	12	13	B016BEL24G
Elite Wine Aerator & Wine Preserver Set	12	13	B01N0R8DN7
Best Red Wine Aerator Decanter Set with DOUBLE BONUS Wine Accessories	12	11	B01M8G07B8
Moscow Mule Mugs	12	11	B01I41V0XC
Gleaming Moscow Mule Copper Mugs Set of 4	12	5	B01MU9NEUD
Owl Creek Handmade Moscow Mule Copper Mugs	12	2	B01ABJHYE4
Moscow Mule Copper Mug Set	12	3	B01G994C1I
ChaMond Home Original Moscow Mule Mugs Set of 2	12	9	B06X14SS54
Official Moscow Mule Copper Mug Gift Set by Sterling Chef	12	1	B01NAD5F2X
100% Pure Copper Moscow Mule Mugs	12	4	B019YQ3HSM
Mule of Moscow Copper Mug Gift Set	12	6	B01M2XIAIL
Moscow Mule Copper Mug	12	8	B014S2ID3G
100% Copper Moscow Mule Mugs	12	6	B01MS8DCVG
Gold Stamp & Co Quality Moscow Mule Mugs Set	12	12	B01NAIEIL0
Vintage Hammered Moscow Mule Copper Mugs Set of 4	12	9	B01MT82RJG
Quality Moscow Mule Mugs Set	12	15	B01NAIEIL0
"""Contigo Kids Autospout Gizmo Water Bottles, 14oz"""	10	9	B071DYRL2N
"""Contigo Autoseal Astor Stainless Steel Mug with Easy-Clean lid, 16 ounces Bright Lavander matte, Limited edition"""	10	2	B01LX6BDF4
"""Contigo AUTOSEAL Transit Stainless Steel Travel Mug, 16 oz, Polar White with Grayed Jade Lid Accent"""	10	7	B01LX6BDF4
"""Contigo SnapSeal Vacuum-Insulated Stainless Steel Travel Mug, 16-Ounce, Gunmetal"""	10	5	B00IR77HMW
"""Contigo AUTOSEAL West Loop Vacuum Insulated Stainless Steel Travel Mug with Easy-Clean Lid, 16oz, Polar White"""	10	12	B00KR9OIWK
"""Contigo Autoseal Astor Stainless steel travel mug with easy-clean lid , 16 ounces stormy Weather matte limited edition"""	10	5	B01LYH6ES9
"""Contigo West Loop Travel Mug Tea Infuser Accessory, Greyed Jade"""	10	14	B00KR9OQGS
"""AUTOSPOUT Straw Addison, 32oz, Ocean"""	10	2	B00TLNXETQ
"""Contigo Addison Autospout 32 oz. Water Bottles (Monaco and Stormy, 32 oz)"""	10	10	B071LK6GW3
"""Contigo 32oz Autospout Addison Water Bottles, 2 Pack (Monaco & Smoke)"""	10	6	B01HYJ7NCW
"""AUTOSPOUT Straw Addison, 24oz, Monaco"""	10	10	B00T7MMCH6
"""AUTOSPOUT Straw Addison, 24oz, Cobalt"""	10	4	B00C5G3OM8
"""AUTOSPOUT Straw Addison, 24oz, Citron"""	10	7	B00ED4UDRE
"""AUTOSPOUT Straw Ashland, 24oz, Sangria"""	10	13	B00YYBBYCO
Contigo Pinnacle Travel Mug 2 Pack Stainless Steel/Radiant Orchid	10	7	B0135P7HKC
"""Contigo AUTOSEAL Gizmo Sip Kids Water Bottle, 14 oz., Jungle Green"""	10	12	B01BD0QZ4U
"""Contigo Autoseal Dandelion Gizmo Sip Kids Water Bottle, 14 oz., Cherry Blossom"""	10	10	B00UVFD6AU
